relative_judge_score,cumulative_average,trend,judge_rank_in_week,week,age,age_group_encoded,industry_encoded,homestate_encoded,partner_encoded,residual,celebrity_name,season
0.06070981434091191,-0.2260150574321163,0.04059171143217249,-0.2755478575314821,1,-0.6278970351300599,-0.007329543968909776,0.012120809085801952,0.16179961030877804,0.11131975548147113,-1.6828721331547385,Evander Holyfield,1
0.13622869480580474,-0.25473106274801227,0.06996232373108169,-0.006927581203267312,2,-0.5367765247444172,-0.0013119464987514508,0.02910200347005135,0.24416006423852502,0.09209499077260963,0.1782113395079294,Evander Holyfield,1
0.10761100438399752,-0.2678570604558778,0.019199549278109324,-0.03339300119174209,3,-0.5615607393747772,-0.00663488301850486,0.016602654564724116,0.2356897749053682,0.07914763852109255,-1.1117930728188483,Evander Holyfield,1
-0.013226839310840363,-0.18580583794434533,0.024176691985531056,-0.16254785305510464,1,0.044169319533585515,0.0359480667621466,-0.06439261043521287,-0.03434285530076994,-0.5888762812821439,-0.9288798779290988,Joey McIntyre,1
0.017342531167736448,-0.2370563761304077,-0.02673013506791715,-0.06830223300395116,2,0.08049946387223525,0.028183092827321527,-0.026487159648799174,-0.024321815867791783,-0.3855614150616499,-0.0279240994363411,Joey McIntyre,1
0.028164735351143964,-0.2389100137741998,-0.011282254157592944,-0.05580731673906617,3,0.07320769378836843,0.031324589864862876,-0.026940897032849062,-0.022747947101612286,-0.34884610208809075,-0.3887476685960908,Joey McIntyre,1
0.04524651652329454,-0.20671923936493994,0.05311134486807325,-0.027480653601610644,4,0.06467083899893561,0.029131107327760704,-0.03473315309873861,-0.027221827221229306,-0.39803252310250753,-0.4093876565429082,Joey McIntyre,1
0.02176933085061748,-0.1915134472199449,0.043467771993256306,-0.20869482696835312,1,-0.1221116860905131,-0.008863641517781934,0.02926934063948716,0.015178729190240626,-0.11798531968017764,-0.0639991469840288,John O'Hurley,1
0.11931122784225529,-0.23780445471975026,-0.13428580830122686,-0.2484572970756783,2,-0.0811145767120009,-0.0023234125833691017,0.016346983470087194,0.010732985239753814,-0.10719648168662907,-0.219677939311722,John O'Hurley,1
0.013980231320819797,-0.12161916885303013,0.061167485147058755,-0.10592070962331666,3,-0.21811462450465535,-0.005799063091324885,0.029815400956507147,0.0094867670404253,-0.12068322551169412,0.1291292624621978,John O'Hurley,1
0.018395736584994167,-0.030656884346516946,0.10152599266606825,-0.08613579163402296,4,-0.26836484334655086,-0.004861278438244369,0.013733894774383637,0.005244140537152706,-0.1579728397052605,0.2572390209335665,John O'Hurley,1
0.7435518686381758,0.1293494011754523,0.044370358264201826,-0.05562351537390179,1,0.6542365975926042,0.04678666575663547,0.12944827849023677,0.1886917998793137,0.3287989487885172,4.034399945461279,Kelly Monaco,1
0.16513329872268656,0.3077369164300667,0.37224269792750353,0.03678300969305312,2,0.6419680856860567,0.06021986152172718,0.16335866803285723,0.2559088619432373,0.7600484378307019,4.381936050287671,Kelly Monaco,1
0.08213864581118761,0.1429681860313848,0.2843056073513188,-4.931815423316034e-05,3,0.5844365750251735,0.04804340189450362,0.11659898284082842,0.1994251465288946,0.724526715463218,3.521937574212884,Kelly Monaco,1
-0.06203609209819243,-0.04008132899013124,0.10733532641465411,-0.10185152555302661,4,0.5163419113741374,0.04799720450406036,0.10883771273418497,0.17686549081981612,0.43523022094910147,2.0902447018190604,Kelly Monaco,1
0.044248042071088636,-0.28802063025922864,0.089998834799442,-0.10307698810334284,1,0.17873129742895486,0.02768155839894307,-0.02252269247834522,-0.030484128836143817,0.08066434541675421,-1.5979295069099837,Rachel Hunter,1
-0.032445853372531905,-0.4423415139949996,-0.2791087833968116,-0.13280596498050518,2,0.07593651255809268,0.03446468922743734,-0.018527559809736784,-0.05798195405299958,0.061849308097022146,-1.2612319480590302,Rachel Hunter,1
-0.060570634885127664,-0.3499387034798485,-0.08999878788328491,-0.057563141409892674,3,0.15321109247211898,0.03890968903604208,-0.009357251265423324,-0.04714452620848648,0.08673148132803854,-1.9927057882042367,Rachel Hunter,1
-0.05188265535671307,0.12691720708068008,0.048168757195604324,-0.0808544560842614,4,0.236184989148456,0.03196825819730056,-0.012460568349158202,-0.03363242773135753,0.12240548061745125,-2.269257066958465,Rachel Hunter,1
-0.02178763098040069,-0.2943278498993789,0.08105843205794015,-0.1350367171699996,1,0.12378341340328415,0.023540777589149832,-0.016186272940426134,-0.0017744480194191515,-0.01627705933362332,-2.5477528640998086,Trista Sutter,1
0.02542484559989741,-0.39469374541523233,-0.06222488885994263,-0.0300012011901595,2,0.03872320407189642,0.021017552255396848,-0.0012496061932184717,-0.008774982041517379,-0.04010514665691288,-1.743303962257592,Trista Sutter,1
0.2318455203004513,-0.1520944269145953,0.16096700404442446,-0.05304147877153216,1,0.5072368852259566,0.06245262941056315,-0.009158803779259437,0.060195814270823225,0.4433811538520728,2.8859600750503382,Drew Lachey,2
0.07257768707728075,0.43746218616797644,-0.1148043222959965,-0.08313500299644704,2,0.41901624507903157,0.07200185164973245,0.06087882185206826,0.09220109866763478,0.35533151172479577,3.2579586402178973,Drew Lachey,2
0.030021339107551625,0.6755857986910585,0.10270147754251031,-0.06573891139738203,3,0.36870971391180485,0.11980988383340879,0.1011817429313326,0.0907197456931461,0.307236880139252,2.802612554805535,Drew Lachey,2
0.05838435583138468,0.7068046752097275,0.018859275048418788,-0.06567785276414828,4,0.359580942881721,0.09860098590432116,0.10679142874354361,0.11007881006004207,0.2720211045785274,2.623844448264778,Drew Lachey,2
