,Hyperparameter (alpha),Feature: judge_rank,Feature: cumulative_avg,Feature: relative_score,Sample Size,Noise (Gaussian 10%),Hyperparameter (C),Mean,Max,Min
Ridge,0.016051364365971106,0.4725050916496945,0.0020366598778004076,0.004073319755600815,0.29949238578680204,0.05,,0.14069313690597815,0.4725050916496945,0.0020366598778004076
Lasso,1.0,0.20977596741344195,0.0,0.05702647657841141,0.29441624365482233,0.05,,0.2685364479411126,1.0,0.0
SVR,,0.4032586558044807,1.0,0.14867617107942974,0.6598984771573604,0.06,0.4333868378812199,0.45087002365374845,1.0,0.06
